source_region,target_region,precision,recall,f1,iou,miou,oa
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.8189,0.4656,0.5937,0.4222,0.6233,0.8445
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.5m),0.7408,0.5514,0.6322,0.4622,0.6918,0.9264
Hokkaido Iburi-Tobu,Lombok,0.1874,0.4626,0.2667,0.1539,0.5376,0.9225
Hokkaido Iburi-Tobu,Longxi River (SAT),0.0000,0.0000,0.0000,0.0000,0.4504,0.9008
Hokkaido Iburi-Tobu,Longxi River (UAV),0.7290,0.0736,0.1336,0.0716,0.4557,0.8417
Hokkaido Iburi-Tobu,Mengdong Township,0.5963,0.1611,0.2537,0.1453,0.5250,0.9062
Hokkaido Iburi-Tobu,Moxi town (UAV-0.2m),0.3682,0.3794,0.3737,0.2298,0.5082,0.7994
Hokkaido Iburi-Tobu,Moxi town (UAV-1m),0.2310,0.7064,0.3482,0.2108,0.5110,0.8203
Hokkaido Iburi-Tobu,Moxitaidi (SAT),0.3567,0.3391,0.3477,0.2104,0.5633,0.9181
Hokkaido Iburi-Tobu,Moxitaidi (UAV-0.6m),0.2750,0.2798,0.2774,0.1610,0.5140,0.8702
Hokkaido Iburi-Tobu,Moxitaidi (UAV-1m),0.1723,0.3880,0.2387,0.1355,0.4709,0.8121
Hokkaido Iburi-Tobu,palu,0.1403,0.3299,0.1969,0.1092,0.5394,0.9697
Hokkaido Iburi-Tobu,Tiburon Peninsula (planet),0.6602,0.4499,0.5352,0.3653,0.6550,0.9464
Hokkaido Iburi-Tobu,Tiburon Peninsula (Sentinel),0.2248,0.6082,0.3283,0.1964,0.5530,0.9115
Hokkaido Iburi-Tobu,Wenchuan,0.5049,0.4361,0.4679,0.3054,0.6297,0.9549
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.6661,0.2504,0.3640,0.2225,0.5696,0.9187
Jiuzhai valley (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.7046,0.6462,0.6741,0.5085,0.7155,0.9284
Jiuzhai valley (UAV-0.2m),Lombok,0.1062,0.1857,0.1351,0.0724,0.4998,0.9276
Jiuzhai valley (UAV-0.2m),Longxi River (SAT),0.0000,0.0000,0.0000,0.0000,0.4505,0.9009
Jiuzhai valley (UAV-0.2m),Longxi River (UAV),0.5856,0.1230,0.2032,0.1131,0.4749,0.8400
Jiuzhai valley (UAV-0.2m),Mengdong Township,0.4861,0.4154,0.4480,0.2886,0.5915,0.8988
Jiuzhai valley (UAV-0.2m),Moxi town (UAV-0.2m),0.4504,0.4029,0.4253,0.2701,0.5434,0.8283
Jiuzhai valley (UAV-0.2m),Moxi town (UAV-1m),0.3784,0.2374,0.2918,0.1708,0.5456,0.9217
Jiuzhai valley (UAV-0.2m),Moxitaidi (SAT),0.4535,0.3637,0.4037,0.2529,0.5910,0.9308
Jiuzhai valley (UAV-0.2m),Moxitaidi (UAV-0.6m),0.3255,0.4917,0.3917,0.2435,0.5507,0.8640
Jiuzhai valley (UAV-0.2m),Moxitaidi (UAV-1m),0.2950,0.3937,0.3373,0.2029,0.5409,0.8826
Jiuzhai valley (UAV-0.2m),palu,0.0128,0.0040,0.0061,0.0031,0.4942,0.9853
Jiuzhai valley (UAV-0.2m),Tiburon Peninsula (planet),0.5806,0.0424,0.0790,0.0411,0.4866,0.9322
Jiuzhai valley (UAV-0.2m),Tiburon Peninsula (Sentinel),0.2557,0.0380,0.0662,0.0342,0.4980,0.9619
Jiuzhai valley (UAV-0.2m),Wenchuan,0.4314,0.2491,0.3158,0.1875,0.5690,0.9510
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.5217,0.6069,0.5611,0.3900,0.6482,0.9118
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.7329,0.7390,0.7360,0.5822,0.7122,0.8706
Jiuzhai valley (UAV-0.5m),Lombok,0.0878,0.6058,0.1534,0.0831,0.4378,0.7963
Jiuzhai valley (UAV-0.5m),Longxi River (SAT),0.0459,0.0016,0.0032,0.0016,0.4496,0.8977
Jiuzhai valley (UAV-0.5m),Longxi River (UAV),0.7082,0.2235,0.3398,0.2047,0.5275,0.8559
Jiuzhai valley (UAV-0.5m),Mengdong Township,0.4344,0.6564,0.5228,0.3540,0.6136,0.8815
Jiuzhai valley (UAV-0.5m),Moxi town (UAV-0.2m),0.2977,0.8136,0.4359,0.2787,0.4489,0.6679
Jiuzhai valley (UAV-0.5m),Moxi town (UAV-1m),0.1198,0.9175,0.2120,0.1185,0.3120,0.5364
Jiuzhai valley (UAV-0.5m),Moxitaidi (SAT),0.3112,0.6406,0.4189,0.2650,0.5728,0.8856
Jiuzhai valley (UAV-0.5m),Moxitaidi (UAV-0.6m),0.2348,0.6204,0.3406,0.2053,0.4895,0.7862
Jiuzhai valley (UAV-0.5m),Moxitaidi (UAV-1m),0.1646,0.6731,0.2645,0.1524,0.4264,0.7158
Jiuzhai valley (UAV-0.5m),palu,0.0232,0.1234,0.0391,0.0199,0.4757,0.9317
Jiuzhai valley (UAV-0.5m),Tiburon Peninsula (planet),0.3419,0.6095,0.4380,0.2804,0.5842,0.8927
Jiuzhai valley (UAV-0.5m),Tiburon Peninsula (Sentinel),0.2803,0.4785,0.3535,0.2147,0.5757,0.9378
Jiuzhai valley (UAV-0.5m),Wenchuan,0.4955,0.4386,0.4653,0.3032,0.6282,0.9542
Lombok,Hokkaido Iburi-Tobu,0.5212,0.0471,0.0865,0.0452,0.4761,0.9074
Lombok,Jiuzhai valley (UAV-0.2m),0.7892,0.1293,0.2222,0.1250,0.4484,0.7791
Lombok,Jiuzhai valley (UAV-0.5m),0.4739,0.2665,0.3411,0.2057,0.5419,0.8820
Lombok,Longxi River (SAT),0.4627,0.0025,0.0050,0.0025,0.4517,0.9009
Lombok,Longxi River (UAV),0.4103,0.1137,0.1781,0.0977,0.4601,0.8258
Lombok,Mengdong Township,0.0276,0.0041,0.0072,0.0036,0.4454,0.8872
Lombok,Moxi town (UAV-0.2m),0.1796,0.1962,0.1876,0.1035,0.4134,0.7318
Lombok,Moxi town (UAV-1m),0.1421,0.7092,0.2367,0.1342,0.4038,0.6892
Lombok,Moxitaidi (SAT),0.1524,0.0963,0.1180,0.0627,0.4847,0.9073
Lombok,Moxitaidi (UAV-0.6m),0.1715,0.0402,0.0652,0.0337,0.4653,0.8972
Lombok,Moxitaidi (UAV-1m),0.0819,0.0787,0.0803,0.0418,0.4520,0.8630
Lombok,palu,0.1732,0.3894,0.2398,0.1362,0.5542,0.9722
Lombok,Tiburon Peninsula (planet),0.3011,0.0393,0.0695,0.0360,0.4818,0.9278
Lombok,Tiburon Peninsula (Sentinel),0.2976,0.2920,0.2947,0.1728,0.5613,0.9503
Lombok,Wenchuan,0.3148,0.3225,0.3186,0.1895,0.5629,0.9373
Longxi River (SAT),Hokkaido Iburi-Tobu,0.9035,0.2008,0.3286,0.1966,0.5594,0.9237
Longxi River (SAT),Jiuzhai valley (UAV-0.2m),0.6197,0.6084,0.6140,0.4430,0.6119,0.8133
Longxi River (SAT),Jiuzhai valley (UAV-0.5m),0.5580,0.5262,0.5416,0.3714,0.6313,0.8979
Longxi River (SAT),Lombok,0.0828,0.3455,0.1335,0.0715,0.4667,0.8634
Longxi River (SAT),Longxi River (UAV),0.0977,0.0255,0.0404,0.0206,0.4095,0.7992
Longxi River (SAT),Mengdong Township,0.5524,0.2602,0.3538,0.2149,0.5592,0.9060
Longxi River (SAT),Moxi town (UAV-0.2m),0.4488,0.5261,0.4844,0.3196,0.5635,0.8233
Longxi River (SAT),Moxi town (UAV-1m),0.3062,0.1393,0.1915,0.1059,0.5126,0.9201
Longxi River (SAT),Moxitaidi (SAT),0.6369,0.0446,0.0833,0.0435,0.4901,0.9368
Longxi River (SAT),Moxitaidi (UAV-0.6m),0.3604,0.4391,0.3959,0.2468,0.5613,0.8807
Longxi River (SAT),Moxitaidi (UAV-1m),0.3087,0.2609,0.2828,0.1647,0.5311,0.8995
Longxi River (SAT),palu,0.0179,0.0524,0.0267,0.0135,0.4852,0.9569
Longxi River (SAT),Tiburon Peninsula (planet),0.2348,0.4060,0.2975,0.1747,0.5197,0.8684
Longxi River (SAT),Tiburon Peninsula (Sentinel),0.0890,0.0304,0.0453,0.0232,0.4888,0.9545
Longxi River (SAT),Wenchuan,0.2808,0.2923,0.2864,0.1671,0.5500,0.9338
Longxi River (UAV),Hokkaido Iburi-Tobu,0.2333,0.8579,0.3668,0.2246,0.4627,0.7247
Longxi River (UAV),Jiuzhai valley (UAV-0.2m),0.7009,0.5137,0.5929,0.4213,0.6123,0.8278
Longxi River (UAV),Jiuzhai valley (UAV-0.5m),0.5832,0.5849,0.5841,0.4125,0.6550,0.9045
Longxi River (UAV),Lombok,0.0797,0.5288,0.1385,0.0744,0.4353,0.7995
Longxi River (UAV),Longxi River (SAT),0.0667,0.0043,0.0081,0.0041,0.4497,0.8954
Longxi River (UAV),Mengdong Township,0.2285,0.8989,0.3644,0.2228,0.4412,0.6899
Longxi River (UAV),Moxi town (UAV-0.2m),0.2525,0.5481,0.3457,0.2090,0.4254,0.6727
Longxi River (UAV),Moxi town (UAV-1m),0.1224,0.8063,0.2126,0.1189,0.3447,0.5940
Longxi River (UAV),Moxitaidi (SAT),0.1936,0.8336,0.3142,0.1864,0.4694,0.7657
Longxi River (UAV),Moxitaidi (UAV-0.6m),0.1911,0.6256,0.2928,0.1715,0.4432,0.7309
Longxi River (UAV),Moxitaidi (UAV-1m),0.1488,0.7205,0.2466,0.1406,0.3935,0.6658
Longxi River (UAV),palu,0.0325,0.3479,0.0594,0.0306,0.4531,0.8760
Longxi River (UAV),Tiburon Peninsula (planet),0.1822,0.9112,0.3037,0.1790,0.4366,0.7133
Longxi River (UAV),Tiburon Peninsula (Sentinel),0.1005,0.8255,0.1792,0.0984,0.4108,0.7312
Longxi River (UAV),Wenchuan,0.4399,0.5176,0.4756,0.3120,0.6294,0.9481
Mengdong Township,Hokkaido Iburi-Tobu,0.7805,0.3418,0.4754,0.3118,0.6197,0.9299
Mengdong Township,Jiuzhai valley (UAV-0.2m),0.7464,0.6175,0.6759,0.5105,0.6701,0.8555
