source_region,target_region,image_idx,wav_hf_ratio,fda_hf_ratio,wav_edge_sim,fda_edge_sim,wav_LH_corr,wav_HL_corr,wav_HH_corr,fda_LH_corr,fda_HL_corr,fda_HH_corr
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0,1.000000,0.946613,0.938978,0.926272,1.000000,1.000000,1.000000,0.985171,0.983897,0.997424
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,1,1.000000,0.959035,0.964469,0.952524,1.000000,1.000000,1.000000,0.970561,0.974451,0.998176
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,2,1.000000,0.947767,0.970072,0.973526,1.000000,1.000000,1.000000,0.984411,0.978700,0.998708
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,3,1.000000,0.923521,0.878178,0.821389,1.000000,1.000000,1.000000,0.968937,0.965186,0.996835
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,4,1.000000,0.934208,0.896368,0.860769,1.000000,1.000000,1.000000,0.974817,0.971665,0.986337
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0,0.999977,0.993963,0.929557,0.944163,1.000000,1.000000,1.000000,0.994085,0.995952,0.998755
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,1,1.000000,0.986499,0.887326,0.855662,1.000000,1.000000,1.000000,0.981433,0.984587,0.990713
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,2,1.000000,0.991275,0.923168,0.941289,1.000000,1.000000,1.000000,0.990915,0.991749,0.998351
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,3,1.000000,0.971390,0.932112,0.950073,1.000000,1.000000,1.000000,0.989631,0.987484,0.996291
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,4,1.000000,1.010533,0.966535,0.972947,1.000000,1.000000,1.000000,0.965690,0.967906,0.999396
Lombok,Hokkaido Iburi-Tobu,0,1.000000,1.002922,0.918444,0.933771,1.000000,1.000000,1.000000,0.990019,0.986363,0.999795
Lombok,Hokkaido Iburi-Tobu,1,1.000000,0.999422,0.945638,0.975471,1.000000,1.000000,1.000000,0.995190,0.996549,0.999669
Lombok,Hokkaido Iburi-Tobu,2,1.000000,0.994689,0.964225,0.992221,1.000000,1.000000,1.000000,0.995910,0.997170,0.999224
Lombok,Hokkaido Iburi-Tobu,3,1.000000,1.025647,0.979433,0.943579,1.000000,1.000000,1.000000,0.982748,0.968279,0.996064
Lombok,Hokkaido Iburi-Tobu,4,0.999997,0.990280,0.956674,0.991195,1.000000,1.000000,1.000000,0.997546,0.997782,0.999108
Longxi River (SAT),Hokkaido Iburi-Tobu,0,1.000000,1.421042,0.953250,0.960573,1.000000,1.000000,1.000000,0.886493,0.922404,0.986601
Longxi River (SAT),Hokkaido Iburi-Tobu,1,1.000000,1.674257,0.970817,0.968975,1.000000,1.000000,1.000000,0.862720,0.907006,0.980126
Longxi River (SAT),Hokkaido Iburi-Tobu,2,1.000000,1.128320,0.952123,0.950787,1.000000,1.000000,1.000000,0.896576,0.914324,0.987996
Longxi River (SAT),Hokkaido Iburi-Tobu,3,1.000000,1.204973,0.958203,0.963579,1.000000,1.000000,1.000000,0.898303,0.923340,0.985221
Longxi River (SAT),Hokkaido Iburi-Tobu,4,1.000000,1.072751,0.945192,0.943463,1.000000,1.000000,1.000000,0.908497,0.928485,0.987677
Longxi River (UAV),Hokkaido Iburi-Tobu,0,1.000000,0.981319,0.956412,0.974346,1.000000,1.000000,1.000000,0.988987,0.989443,0.999907
Longxi River (UAV),Hokkaido Iburi-Tobu,1,1.000000,1.014123,0.978025,0.974163,1.000000,1.000000,1.000000,0.991701,0.993018,0.999944
Longxi River (UAV),Hokkaido Iburi-Tobu,2,1.000000,1.017428,0.967124,0.984927,1.000000,1.000000,1.000000,0.990930,0.993465,0.999689
Longxi River (UAV),Hokkaido Iburi-Tobu,3,1.000000,1.012428,0.967817,0.978968,1.000000,1.000000,1.000000,0.989587,0.992011,0.999838
Longxi River (UAV),Hokkaido Iburi-Tobu,4,1.000000,1.031340,0.971122,0.978772,1.000000,1.000000,1.000000,0.987161,0.991703,0.999702
Mengdong Township,Hokkaido Iburi-Tobu,0,1.000000,0.972208,0.958359,0.988216,1.000000,1.000000,1.000000,0.990109,0.994615,0.997974
Mengdong Township,Hokkaido Iburi-Tobu,1,1.000000,0.985439,0.960374,0.987056,1.000000,1.000000,1.000000,0.989450,0.995581,0.999433
Mengdong Township,Hokkaido Iburi-Tobu,2,1.000000,0.978417,0.956356,0.987978,1.000000,1.000000,1.000000,0.988413,0.995356,0.998625
Mengdong Township,Hokkaido Iburi-Tobu,3,1.000000,0.992874,0.965553,0.994929,1.000000,1.000000,1.000000,0.993033,0.997488,0.997500
Mengdong Township,Hokkaido Iburi-Tobu,4,1.000000,0.963571,0.969751,0.971894,1.000000,1.000000,1.000000,0.979525,0.990603,0.998233
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0,0.999938,0.976051,0.962935,0.977318,1.000000,1.000000,0.999999,0.994360,0.989801,0.999710
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,1,1.000000,0.990724,0.933656,0.973960,1.000000,1.000000,1.000000,0.997321,0.997969,0.999216
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,2,1.000000,0.989670,0.970712,0.959295,1.000000,1.000000,1.000000,0.996235,0.995278,0.997511
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,3,1.000000,0.995980,0.946760,0.969633,1.000000,1.000000,1.000000,0.997877,0.996816,0.999882
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,4,1.000000,1.007157,0.929153,0.942656,1.000000,1.000000,1.000000,0.991465,0.994233,0.999750
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0,0.999891,0.982795,0.934010,0.941368,0.999999,0.999999,0.999998,0.995494,0.995976,0.997193
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,1,0.994712,0.967457,0.974780,0.968198,0.999919,0.999933,0.999872,0.989226,0.983229,0.999024
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,2,0.997086,0.982067,0.962537,0.958910,0.999955,0.999961,0.999940,0.995187,0.986774,0.999294
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,3,0.998556,0.987724,0.955637,0.979432,0.999974,0.999978,0.999970,0.997601,0.996035,0.999448
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,4,0.993698,0.980450,0.971321,0.961574,0.999868,0.999898,0.999842,0.994630,0.984450,0.999165
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0,1.000000,0.970877,0.960107,0.975431,1.000000,1.000000,1.000000,0.990536,0.980876,0.999682
Moxitaidi (SAT),Hokkaido Iburi-Tobu,1,1.000000,0.973900,0.952974,0.969082,1.000000,1.000000,1.000000,0.993346,0.986916,0.999635
Moxitaidi (SAT),Hokkaido Iburi-Tobu,2,1.000000,0.989925,0.966257,0.977634,1.000000,1.000000,1.000000,0.988651,0.988484,0.999731
