source_region,target_region,precision,recall,f1,iou,miou,oa
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.3090,0.6096,0.4101,0.2579,0.5426,0.8370
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.3853,0.6625,0.4873,0.3221,0.5920,0.8704
Lombok,Hokkaido Iburi-Tobu,0.4995,0.1687,0.2523,0.1443,0.5249,0.9070
Longxi River (SAT),Hokkaido Iburi-Tobu,0.1117,0.0555,0.0742,0.0385,0.4545,0.8712
Longxi River (UAV),Hokkaido Iburi-Tobu,0.2540,0.6611,0.3670,0.2248,0.4995,0.7881
Mengdong Township,Hokkaido Iburi-Tobu,0.2570,0.4065,0.3149,0.1869,0.5080,0.8356
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0.2440,0.3640,0.2922,0.1711,0.5007,0.8361
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0.2914,0.6937,0.4104,0.2582,0.5300,0.8147
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0.2090,0.2360,0.2217,0.1246,0.4836,0.8459
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0.3059,0.1917,0.2357,0.1336,0.5080,0.8844
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0.3548,0.5201,0.4218,0.2673,0.5640,0.8675
palu,Hokkaido Iburi-Tobu,0.6243,0.2972,0.4027,0.2521,0.5839,0.9181
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0.3502,0.7042,0.4678,0.3053,0.5730,0.8511
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,0.4724,0.3036,0.3696,0.2267,0.5638,0.9037
Wenchuan,Hokkaido Iburi-Tobu,0.3973,0.6412,0.4906,0.3250,0.5967,0.8762
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.4967,0.3582,0.4163,0.2628,0.4971,0.7548
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.7505,0.6419,0.6920,0.5291,0.6819,0.8606
Lombok,Jiuzhai valley (UAV-0.2m),0.3909,0.0805,0.1336,0.0716,0.4057,0.7450
Longxi River (SAT),Jiuzhai valley (UAV-0.2m),0.7591,0.4150,0.5366,0.3667,0.5861,0.8251
Longxi River (UAV),Jiuzhai valley (UAV-0.2m),0.6763,0.4455,0.5371,0.3672,0.5785,0.8127
Mengdong Township,Jiuzhai valley (UAV-0.2m),0.6913,0.3448,0.4601,0.2988,0.5416,0.8025
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.2m),0.3908,0.8551,0.5364,0.3665,0.4554,0.6393
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.2m),0.4614,0.2940,0.3592,0.2189,0.4715,0.7440
Moxitaidi (SAT),Jiuzhai valley (UAV-0.2m),0.7390,0.3699,0.4931,0.3272,0.5616,0.8144
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.2m),0.7721,0.5174,0.6196,0.4488,0.6357,0.8450
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.2m),0.7843,0.3864,0.5177,0.3493,0.5777,0.8243
palu,Jiuzhai valley (UAV-0.2m),0.6195,0.0471,0.0875,0.0458,0.4017,0.7604
Tiburon Peninsula (planet),Jiuzhai valley (UAV-0.2m),0.6936,0.2583,0.3764,0.2318,0.5045,0.7912
Tiburon Peninsula (Sentinel),Jiuzhai valley (UAV-0.2m),0.7268,0.0851,0.1523,0.0824,0.4232,0.7689
Wenchuan,Jiuzhai valley (UAV-0.2m),0.7572,0.4711,0.5808,0.4093,0.6109,0.8341
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.5m),0.1572,0.4749,0.2362,0.1339,0.3808,0.6479
Jiuzhai valley (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.4410,0.7658,0.5597,0.3886,0.6186,0.8618
Lombok,Jiuzhai valley (UAV-0.5m),0.3661,0.1464,0.2092,0.1168,0.4938,0.8731
