source_region,target_region,cosine_sim,l2_dist,mean_pixel_diff,hist_intersection
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.992000,145.728424,0.315411,0.000809
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.5m),0.995072,169.642166,0.376276,0.000000
Hokkaido Iburi-Tobu,Lombok,0.996978,95.046425,0.205429,0.008896
Hokkaido Iburi-Tobu,Longxi River (SAT),0.998927,140.527695,0.313493,0.000000
Hokkaido Iburi-Tobu,Longxi River (UAV),0.997968,41.527256,0.071184,0.353916
Hokkaido Iburi-Tobu,Mengdong Township,0.997867,30.000948,0.046340,0.539722
Hokkaido Iburi-Tobu,Moxi town (UAV-0.2m),0.995348,81.394028,0.164206,0.103154
Hokkaido Iburi-Tobu,Moxi town (UAV-1m),0.993928,64.045036,0.109108,0.284864
Hokkaido Iburi-Tobu,Moxitaidi (SAT),0.997541,30.405582,0.040636,0.616242
Hokkaido Iburi-Tobu,Moxitaidi (UAV-0.6m),0.997077,53.967270,0.100980,0.254427
Hokkaido Iburi-Tobu,Moxitaidi (UAV-1m),0.995737,42.989979,0.063646,0.417769
Hokkaido Iburi-Tobu,palu,0.996685,118.459412,0.262502,0.000065
Hokkaido Iburi-Tobu,Tiburon Peninsula (planet),0.973892,99.929848,0.135196,0.294652
Hokkaido Iburi-Tobu,Tiburon Peninsula (Sentinel),0.998488,40.056194,0.077496,0.278440
Hokkaido Iburi-Tobu,Wenchuan,0.997122,201.347916,0.451467,0.000000
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.992000,145.728424,0.315411,0.000809
Jiuzhai valley (UAV-0.2m),Jiuzhai valley (UAV-0.5m),0.994868,37.767002,0.060864,0.479151
Jiuzhai valley (UAV-0.2m),Lombok,0.987913,66.944847,0.109982,0.307109
Jiuzhai valley (UAV-0.2m),Longxi River (SAT),0.993142,31.860374,0.050344,0.311193
Jiuzhai valley (UAV-0.2m),Longxi River (UAV),0.989927,177.783661,0.386595,0.000000
Jiuzhai valley (UAV-0.2m),Mengdong Township,0.991475,158.263702,0.344563,0.000297
Jiuzhai valley (UAV-0.2m),Moxi town (UAV-0.2m),0.995306,72.664253,0.151205,0.065175
Jiuzhai valley (UAV-0.2m),Moxi town (UAV-1m),0.995223,96.676346,0.206303,0.070132
Jiuzhai valley (UAV-0.2m),Moxitaidi (SAT),0.985642,158.766891,0.332509,0.013062
Jiuzhai valley (UAV-0.2m),Moxitaidi (UAV-0.6m),0.995163,99.359299,0.214431,0.006893
Jiuzhai valley (UAV-0.2m),Moxitaidi (UAV-1m),0.994271,122.566338,0.265618,0.006227
Jiuzhai valley (UAV-0.2m),palu,0.984120,56.224911,0.112794,0.147837
Jiuzhai valley (UAV-0.2m),Tiburon Peninsula (planet),0.983126,109.776146,0.189998,0.165400
Jiuzhai valley (UAV-0.2m),Tiburon Peninsula (Sentinel),0.990241,114.857430,0.237915,0.047043
Jiuzhai valley (UAV-0.2m),Wenchuan,0.989550,69.871193,0.136056,0.130498
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.995072,169.642166,0.376276,0.000000
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.994868,37.767002,0.060864,0.479151
Jiuzhai valley (UAV-0.5m),Lombok,0.990778,84.944695,0.170847,0.094050
Jiuzhai valley (UAV-0.5m),Longxi River (SAT),0.995235,36.940426,0.062783,0.292043
Jiuzhai valley (UAV-0.5m),Longxi River (UAV),0.992209,202.283447,0.447459,0.000000
Jiuzhai valley (UAV-0.5m),Mengdong Township,0.993793,182.726685,0.405428,0.000000
Jiuzhai valley (UAV-0.5m),Moxi town (UAV-0.2m),0.996107,97.074493,0.212070,0.004232
