source_region,target_region,precision,recall,f1,iou,miou,oa
Jiuzhai valley (UAV-0.2m),Hokkaido Iburi-Tobu,0.7515,0.4326,0.5491,0.3785,0.6548,0.9340
Jiuzhai valley (UAV-0.5m),Hokkaido Iburi-Tobu,0.6522,0.3280,0.4365,0.2792,0.5990,0.9213
Lombok,Hokkaido Iburi-Tobu,0.2360,0.7703,0.3613,0.2205,0.4739,0.7468
Longxi River (SAT),Hokkaido Iburi-Tobu,0.7654,0.4166,0.5395,0.3694,0.6503,0.9339
Longxi River (UAV),Hokkaido Iburi-Tobu,0.2934,0.6373,0.4018,0.2514,0.5320,0.8236
Mengdong Township,Hokkaido Iburi-Tobu,0.5967,0.3502,0.4413,0.2831,0.5990,0.9176
Moxi town (UAV-0.2m),Hokkaido Iburi-Tobu,0.3543,0.0610,0.1041,0.0549,0.4784,0.9024
Moxi town (UAV-1m),Hokkaido Iburi-Tobu,0.4961,0.4612,0.4780,0.3140,0.6081,0.9064
Moxitaidi (SAT),Hokkaido Iburi-Tobu,0.6794,0.3077,0.4236,0.2687,0.5943,0.9222
Moxitaidi (UAV-0.6m),Hokkaido Iburi-Tobu,0.8077,0.2078,0.3306,0.1980,0.5591,0.9218
Moxitaidi (UAV-1m),Hokkaido Iburi-Tobu,0.7094,0.0157,0.0307,0.0156,0.4617,0.9079
palu,Hokkaido Iburi-Tobu,0.4296,0.2194,0.2905,0.1699,0.5341,0.9004
Tiburon Peninsula (planet),Hokkaido Iburi-Tobu,0.3634,0.7717,0.4941,0.3281,0.5849,0.8531
Tiburon Peninsula (Sentinel),Hokkaido Iburi-Tobu,0.4969,0.2237,0.3085,0.1824,0.5436,0.9068
Wenchuan,Hokkaido Iburi-Tobu,0.3787,0.2155,0.2747,0.1592,0.5256,0.8942
Hokkaido Iburi-Tobu,Jiuzhai valley (UAV-0.2m),0.6358,0.6706,0.6527,0.4845,0.6382,0.8259
Jiuzhai valley (UAV-0.5m),Jiuzhai valley (UAV-0.2m),0.6973,0.7629,0.7286,0.5731,0.7014,0.8613
Lombok,Jiuzhai valley (UAV-0.2m),0.6356,0.6821,0.6580,0.4904,0.6414,0.8270
Longxi River (SAT),Jiuzhai valley (UAV-0.2m),0.5983,0.5105,0.5509,0.3802,0.5741,0.7969
Longxi River (UAV),Jiuzhai valley (UAV-0.2m),0.6348,0.5874,0.6102,0.4390,0.6126,0.8169
Mengdong Township,Jiuzhai valley (UAV-0.2m),0.7345,0.6036,0.6627,0.4955,0.6598,0.8500
Moxi town (UAV-0.2m),Jiuzhai valley (UAV-0.2m),0.6869,0.6476,0.6667,0.5000,0.6562,0.8420
Moxi town (UAV-1m),Jiuzhai valley (UAV-0.2m),0.6763,0.4014,0.5038,0.3367,0.5614,0.8070
Moxitaidi (SAT),Jiuzhai valley (UAV-0.2m),0.5681,0.2678,0.3640,0.2225,0.4891,0.7716
Moxitaidi (UAV-0.6m),Jiuzhai valley (UAV-0.2m),0.7708,0.4755,0.5881,0.4166,0.6164,0.8375
Moxitaidi (UAV-1m),Jiuzhai valley (UAV-0.2m),0.6229,0.4568,0.5271,0.3579,0.5664,0.8000
palu,Jiuzhai valley (UAV-0.2m),0.7042,0.2417,0.3598,0.2194,0.4982,0.7902
